DQN agent 
Episode 1:
Total reward:-5007.280109882355
[4. 4.]
Episode 2:
Total reward:-5021.840329647064
[4. 1. 4. 4.]
Episode 3:
Total reward:-5007.280109882355
[4. 4.]
Episode 4:
Total reward:-5007.280109882355
[4. 4.]
Episode 5:
Total reward:-5007.280109882355
[4. 4.]
Episode 6:
Total reward:-5007.280109882355
[4. 4.]
Episode 7:
Total reward:-5007.280109882355
[4. 4.]
Episode 8:
Total reward:-5007.280109882355
[4. 4.]
Episode 9:
Total reward:-5007.280109882355
[4. 4.]
Episode 10:
Total reward:-5007.280109882355
[4. 4.]
